ref_ID,Country,Ref,PubDate,Continent,MPA_name,MPA_size,MPA_size_cat,MPA_age,MPA_age_cat_2,MPA_age_cat,Multiple_Zones,MPA_ntake_01,MPA_notake,Ecosystem,Eco_simple,Study_design,Study_design_2,Stake_simple,Stakeholder,CPUE,Catch,Income
18,Philippines,"Chaigneau T., Brown K. (2016) Challenging the win-win discourse on conservation and development: analyzing support for marine protected areas. Ecology and Society 21, 36.",2016,Asia,Suba,0.2,Small,7,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Decrease,Increase
18,Philippines,"Chaigneau T., Brown K. (2016) Challenging the win-win discourse on conservation and development: analyzing support for marine protected areas. Ecology and Society 21, 36.",2016,Asia,Suba,0.2,Small,7,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Decrease,Increase
20,Indonesia,"Christie P. (2004) Marine protected areas as biological successes and social failures in Southeast Asia. pp. 155-164. American Fisheries Society Symposium. Bethesda, MD.",2004,Asia,Bunaken National Park,890.56,Large,12,>10 years,Old,Y,Y,2.81E-05,tropical - coral reef,Tropical,P,Perception,Fisheries,Mixed,Increase,Increase,
20,Philippines,"Christie P. (2004) Marine protected areas as biological successes and social failures in Southeast Asia. pp. 155-164. American Fisheries Society Symposium. Bethesda, MD.",2004,Asia,San Salvador,1.25,Medium,14,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,Increase,Increase,
20,Philippines,"Christie P. (2004) Marine protected areas as biological successes and social failures in Southeast Asia. pp. 155-164. American Fisheries Society Symposium. Bethesda, MD.",2004,Asia,Twin Rocks,0.03,Small,12,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Mixed,Increase,Increase,
21,Philippines,"Christie P., White A.T., Buhat D. (1994) Community?based coral reef management on san Salvador island, the Philippines. Society & Natural Resources 7, 103-117.",1994,Asia,San Salvador,1.25,Medium,2,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,No change,Increase,
21,Philippines,"Christie P., White A.T., Buhat D. (1994) Community?based coral reef management on san Salvador island, the Philippines. Society & Natural Resources 7, 103-117.",1994,Asia,San Salvador,1.25,Medium,2,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,No change,Increase,
21,Philippines,"Christie P., White A.T., Buhat D. (1994) Community?based coral reef management on san Salvador island, the Philippines. Society & Natural Resources 7, 103-117.",1994,Asia,San Salvador,1.25,Medium,2,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,No change,Increase,
21,Philippines,"Christie P., White A.T., Buhat D. (1994) Community?based coral reef management on san Salvador island, the Philippines. Society & Natural Resources 7, 103-117.",1994,Asia,San Salvador,1.25,Medium,2,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,No change,Increase,
21,Philippines,"Christie P., White A.T., Buhat D. (1994) Community?based coral reef management on san Salvador island, the Philippines. Society & Natural Resources 7, 103-117.",1994,Asia,San Salvador,1.25,Medium,2,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,Increase,
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Mombasa Marine National Reserve,200,Large,27,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,Increase,
